ASSOCIATED SITE,LEG ID,UNIT CONSUMPTION,READING FOR
"Aerocity, New Delhi",1848,179.77463,03/02/21
Luhari-WHTM,1692,25.328,03/02/21
Luhari-WHTM,1691,649.408,03/02/21
"Aerocity, New Delhi",1848,539.456,03/01/21
Luhari-WHTM,1692,56.584,03/01/21
Luhari-WHTM,1691,1280.768,03/01/21
"Aerocity, New Delhi",1848,1802.624,02/28/21
Luhari-WHTM,1692,139.988,02/28/21
Luhari-WHTM,1691,1243.328,02/28/21
"Aerocity, New Delhi",1848,1890.176,02/27/21
Luhari-WHTM,1692,141.916,02/27/21
Luhari-WHTM,1691,1280.576,02/27/21
"Aerocity, New Delhi",1848,671.36,02/26/21
Luhari-WHTM,1691,688.512,02/26/21
Luhari-WHTM,1693,320.482,02/26/21
Luhari-WHTM,1692,335.868,02/26/21
"Aerocity, New Delhi",1848,1556.288,02/25/21
Luhari-WHTM,1692,947.712,02/25/21
Luhari-WHTM,1693,423.594,02/25/21
"Aerocity, New Delhi",1848,1592.192,02/24/21
Luhari-WHTM,1693,274.608,02/24/21
Luhari-WHTM,1691,1064.384,02/24/21
"Aerocity, New Delhi",1848,1500.8,02/23/21
Luhari-WHTM,1693,11.904,02/23/21
Luhari-WHTM,1691,1521.408,02/23/21
"Aerocity, New Delhi",1848,1692.224,02/22/21
Luhari-WHTM,1693,65.518,02/22/21
Luhari-WHTM,1691,1296.704,02/22/21
"Aerocity, New Delhi",1848,1711.36,02/21/21
Luhari-WHTM,1691,2088.448,02/21/21
Luhari-WHTM,1693,67.188,02/21/21
"Aerocity, New Delhi",1848,1610.944,02/20/21
Luhari-WHTM,1691,1413.248,02/20/21
Luhari-WHTM,1693,36.402,02/20/21
"Aerocity, New Delhi",1848,1880.768,02/19/21
Luhari-WHTM,1693,16.112,02/19/21
Luhari-WHTM,1692,0.856,02/19/21
Luhari-WHTM,1691,1390.464,02/19/21
"Aerocity, New Delhi",1848,1747.968,02/18/21
Luhari-WHTM,1691,920.064,02/18/21
Luhari-WHTM,1692,423.732,02/18/21
"Aerocity, New Delhi",1848,1867.648,02/17/21
Luhari-WHTM,1692,6.948,02/17/21
